epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.6866,1.77156,2.70003,3.77886,1.79684,0.50664,0.43503,0.42949,0.19144,0.61434,0.39486,0.43579,0.20171,1.8598,3.26647,2.45487,1.72503,0.000552711,0.000552711,0.000552711
2,94.006,1.59272,2.12864,2.39573,1.5834,0.60799,0.58092,0.6365,0.30308,0.61203,0.58787,0.64137,0.31512,1.74306,0.74631,1.91853,1.65733,0.00110615,0.00110615,0.00110615
3,138.668,1.55406,2.04655,1.79152,1.56491,0.64856,0.6288,0.63902,0.29876,0.68444,0.63045,0.65206,0.33979,1.79652,1.34566,1.60737,1.70276,0.00165067,0.00165067,0.00165067
4,183.482,1.51526,1.99609,1.55337,1.5567,0.43652,0.57795,0.43981,0.23421,0.45151,0.59038,0.44683,0.24211,1.63151,0.71429,2.37897,1.59377,0.00163697,0.00163697,0.00163697
5,227.412,1.47896,1.93357,1.32922,1.51416,0.68543,0.62323,0.66762,0.34316,0.70434,0.63038,0.6869,0.37223,1.71181,1.25624,1.4895,1.65582,0.00161386,0.00161386,0.00161386
6,279.795,1.43545,1.91825,1.24073,1.48582,0.6405,0.64827,0.63525,0.28566,0.65833,0.65998,0.65868,0.33415,1.78405,0.90628,1.49874,1.70088,0.00158447,0.00158447,0.00158447
7,332.06,1.39557,1.85193,1.16723,1.45813,0.67442,0.64838,0.67394,0.31722,0.69158,0.66446,0.68925,0.37392,1.8296,1.04831,1.45372,1.73005,0.00154903,0.00154903,0.00154903
8,377.103,1.36561,1.8415,1.07141,1.4396,0.75895,0.70707,0.75103,0.38122,0.76789,0.71654,0.76495,0.42885,1.74845,1.03575,1.18782,1.64332,0.00150783,0.00150783,0.00150783
9,420.755,1.35026,1.85008,1.0159,1.42564,0.70474,0.72066,0.75287,0.39945,0.71745,0.73708,0.76595,0.43681,1.65597,1.10969,1.25038,1.60891,0.00146121,0.00146121,0.00146121
10,463.7,1.31328,1.76086,0.98174,1.39951,0.7813,0.75978,0.7907,0.41402,0.77559,0.75884,0.7944,0.44117,1.69905,0.7688,1.17749,1.67313,0.00140953,0.00140953,0.00140953
11,507.198,1.30309,1.78074,0.89385,1.39407,0.78381,0.72713,0.80161,0.42793,0.79203,0.73371,0.80874,0.46059,1.58037,0.99961,1.1392,1.53723,0.00135321,0.00135321,0.00135321
12,550.557,1.25681,1.73913,0.84068,1.35558,0.738,0.68914,0.75905,0.394,0.74241,0.69371,0.76272,0.40937,1.71619,0.79012,1.23462,1.67522,0.00129271,0.00129271,0.00129271
13,595.747,1.22316,1.71429,0.81354,1.32523,0.80604,0.73667,0.82522,0.40876,0.82752,0.75552,0.84568,0.47461,1.7441,1.21136,1.06967,1.67212,0.00122851,0.00122851,0.00122851
14,641.053,1.17264,1.65932,0.74376,1.29859,0.75876,0.75421,0.77057,0.38729,0.77126,0.76319,0.78536,0.44075,1.77714,0.98205,1.15254,1.71749,0.00116114,0.00116114,0.00116114
15,686.651,1.14294,1.64101,0.70601,1.2718,0.7773,0.75006,0.79532,0.43492,0.78515,0.75682,0.80335,0.46809,1.65007,1.01858,1.04863,1.65944,0.00109112,0.00109112,0.00109112
16,730.814,1.12557,1.63875,0.66029,1.26247,0.78309,0.77683,0.80969,0.41158,0.80189,0.79506,0.82816,0.46955,1.77128,1.0403,0.99852,1.76516,0.00101904,0.00101904,0.00101904
17,773.534,1.08387,1.57925,0.62034,1.23356,0.77427,0.76471,0.79366,0.40213,0.78184,0.77169,0.80556,0.44908,1.76479,0.89202,1.04737,1.71339,0.000945456,0.000945456,0.000945456
